time,x_original,x_drift,x_amplitude_scaled,x_lowfreq,v_original,v_drift,v_amplitude_scaled,v_lowfreq,a_original,a_drift,a_amplitude_scaled,a_lowfreq
0.0,0.01,0.01,0.015,0.01,0.0,0.0,0.0,0.0,-0.1,-0.1,-0.15000000000000002,-0.1
0.01,0.009995001249687578,0.010005001249687577,0.014992501874531366,0.009997000749812546,-0.0009997500624844835,-0.0009897500624844835,-0.0014996250937267253,-0.0005998500374906901,-0.0999500124968967,-0.0999400124968967,-0.14992501874534503,-0.09997000749813802
0.02,0.009980009996251246,0.010000009996251245,0.01497001499437687,0.009992002999000311,-0.0019985006247818377,-0.0019785006247818376,-0.0029977509371727565,-0.0011995001749439543,-0.09980009996257413,-0.09978009996257413,-0.14970014994386122,-0.09992002999003219
0.03,0.009955041227197564,0.009985041227197565,0.014932561840796346,0.009983008246938513,-0.0029952531859545745,-0.0029652531859545744,-0.004492879778931862,-0.0017987505123223668,-0.09955041227197323,-0.09952041227197322,-0.14932561840795983,-0.09983008246943864
0.04,0.009920119905054956,0.009960119905054956,0.014880179857582434,0.009970022488629774,-0.003989011242567023,-0.0039490112425670226,-0.005983516863850534,-0.0023972016492509324,-0.09920119905051641,-0.09916119905051642,-0.14880179857577464,-0.09970022488633377
0.05,0.00987528094241742,0.00992528094241742,0.01481292141362613,0.009955041227197564,-0.004978781284940143,-0.004928781284940144,-0.0074681719274102155,-0.0029952531859545745,-0.09875280942410766,-0.09870280942410767,-0.14812921413616148,-0.09955041227197323
0.06,0.009820569167040657,0.009880569167040656,0.014730853750560985,0.009934088433911999,-0.005963573790412553,-0.005903573790412553,-0.008945360685618828,-0.0035915080199220434,-0.09820569167037421,-0.09814569167037421,-0.14730853750556133,-0.09934088433909914
0.07,0.009756039277025515,0.009826039277025515,0.014634058915538272,0.009911152112527449,-0.006942404212615869,-0.006872404212615869,-0.010413606318923803,-0.004186965251041647,-0.09756039277028902,-0.09749039277028902,-0.14634058915543352,-0.09911152112523466
0.08,0.009681755786133566,0.009761755786133567,0.014522633679200349,0.009884248734944928,-0.007914293965773781,-0.007834293965773781,-0.011871440948660671,-0.004780827276465519,-0.09681755786129356,-0.09673755786129357,-0.14522633679194036,-0.09884248734938941
0.09,0.009597792959289473,0.009687792959289473,0.014396689438934209,0.009853396232266715,-0.008878271403044844,-0.008788271403044844,-0.013317407104567266,-0.005372698287129107,-0.09597792959291881,-0.09588792959291881,-0.1439668943893782,-0.09853396232261429
0.1,0.009504234738334621,0.00960423473833462,0.014256352107501931,0.009820569167040657,-0.00983337278792559,-0.00973337278792559,-0.014750059181888384,-0.005963573790412553,-0.09504234738323028,-0.09494234738323028,-0.14256352107484543,-0.09820569167037421
0.11,0.009401174658106257,0.009511174658106258,0.014101761987159386,0.00978185123303157,-0.010778643257747248,-0.010668643257747247,-0.016167964886620874,-0.006550872043734542,-0.09401174658110165,-0.09390174658110165,-0.14101761987165246,-0.0978185123303231
0.12,0.009288715752926025,0.009408715752926025,0.013933073629389038,0.009741182578847126,-0.011713137778299182,-0.011593137778299182,-0.017569706667448774,-0.00713678216324745,-0.09288715752928514,-0.09276715752928515,-0.13933073629392773,-0.09741182578848993
0.13,0.009166970453591404,0.009296970453591404,0.013750455680387106,0.009696612484311955,-0.01263592208862498,-0.01250592208862498,-0.01895388313293747,-0.0077199160151421985,-0.09166970453587428,-0.09153970453587428,-0.1375045568038114,-0.09696612484309265
0.14,0.009036060474973014,0.009176060474973014,0.013554090712459521,0.00964817065539593,-0.013546073635052957,-0.013406073635052957,-0.020319110452579434,-0.008299884940682206,-0.09036060474972121,-0.09022060474972121,-0.13554090712458183,-0.09648170655394367
0.15,0.008896116694330158,0.00904611669433016,0.013344175041495238,0.009597792959289473,-0.014442682493518228,-0.014292682493518227,-0.021664023740277344,-0.008878271403044844,-0.08896116694333298,-0.08881116694333298,-0.13344175041499945,-0.09597792959291881
0.16,0.008747279020466276,0.008907279020466277,0.013120918530699414,0.009541658026716563,-0.015324852279258167,-0.015164852279258166,-0.02298727841888725,-0.009451332233973292,-0.08747279020465484,-0.08731279020465485,-0.13120918530698228,-0.0954165802671057
0.17,0.008589696253855113,0.008759696253855113,0.01288454438078267,0.009483622722288948,-0.01619170104297449,-0.01602170104297449,-0.02428755156446174,-0.010022426881889921,-0.08589696253861032,-0.08572696253861031,-0.12884544380791546,-0.09483622722280455
0.18,0.008423525937877435,0.008603525937877434,0.012635288906816151,0.00942178667415193,-0.01704236215256116,-0.01686236215256116,-0.02556354322884174,-0.010589589163782916,-0.0842352593787237,-0.0840552593787237,-0.12635288906808556,-0.09421786674152738
0.19,0.008248934201317025,0.008438934201317024,0.012373401301975537,0.009356191096034165,-0.017875985159520817,-0.017685985159520818,-0.026813977739281226,-0.011152441065968022,-0.08248934201320754,-0.08229934201320754,-0.12373401301981131,-0.09356191096037504
0.2,0.008066095592273417,0.008266095592273417,0.012099143388410125,0.009288715752926025,-0.018691736649200853,-0.018491736649200854,-0.02803760497380128,-0.011713137778299182,-0.08066095592279979,-0.08046095592279978,-0.12099143388419968,-0.09288715752928514
0.21,0.007875192903657425,0.008085192903657425,0.011812789355486138,0.009215668573325252,-0.01948880107399756,-0.019278801073997563,-0.029233201610996344,-0.01226680836449466,-0.07875192903654213,-0.07854192903654213,-0.1181278935548132,-0.09215668573323862
0.22,0.007676416990443924,0.007896416990443925,0.011514625485665887,0.009140788457867727,-0.020266381568702533,-0.02004638156870253,-0.0303995723530538,-0.012817952397910575,-0.07676416990445237,-0.07654416990445237,-0.11514625485667855,-0.09140788457864367
0.23,0.007469966578864572,0.0076999665788645725,0.011204949868296859,0.009062242470696692,-0.021023700747167813,-0.020793700747167812,-0.03153555112075172,-0.013364043325767362,-0.0746996657886034,-0.07446966578860341,-0.1120494986829051,-0.09062242470695182
0.24,0.007256048067731244,0.007496048067731244,0.010884072101596866,0.008980082962715873,-0.021760001479497776,-0.021520001479497775,-0.032640002219246664,-0.013904717178439064,-0.07256048067738899,-0.07232048067738898,-0.10884072101608348,-0.08980082962716592
0.25,0.007034875322088809,0.007284875322088809,0.010552312983133213,0.008896116694330158,-0.02247454764898929,-0.02222454764898929,-0.033711821473483936,-0.014442682493518228,-0.07034875322091391,-0.07009875322091391,-0.10552312983137087,-0.08896116694333298
